SN	Date	HerdID	form_ID	species	AnimalID	Earing	Breed 	Age	Sex	Lactating	Healthy	Sick	Recovered	SampleID 	Sector 	Cell	Village	RBT_sample 	RBTDate	ELISA_sample	ELISADate 	RBT_ELISA
1	28/03/2023	A	RWE001A	goat	G001	Cyasha cy'impuga	Local	Adult	Female	Yes				RPA001	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
2		A	RWE001A	goat	G002	Buregeya	Local	Adult	Female	Yes				RPA002	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
3		A	RWE001A	goat	G003	Mukara	Local	Adult	Female	Yes				RPA003	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
4		A	RWE001A	goat	G004	Mpuga	Local	Adult	Female	Yes				RPA004	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
5		A	RWE001A	goat	G005	no name	Local	Adult	Female	No				RPA005	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
6		A	RWE001A	goat	G006	Kajisho	Local	Adult	Female	No				RPA006	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
7		A	RWE001A	goat	G007	Rucocero	Local	Adult	Female	No				RPA007	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
8		A	RWE001A	goat	G008	Nkungu	Local	Adult	Female	Yes				RPA008	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
9		A	RWE001A	goat	G009	Bugondo	Local	Adult	Female	Yes				RPA009	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
10		A	RWE001A	goat	G010	Ruhaya	Local	Adult	Male	No				RPA010	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
11		A	RWE001A	goat	G011	Gisa	Local	Adult	Female	Yes				RPA011	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
12		A	RWE001A	goat	G012	Cyoya	Local	Adult	Female	No				RPA012	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
13		A	RWE001A	goat	G013	Biyenji	Local	Adult	Female	Yes				RPA013	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
14		A	RWE001A	goat	G014	Rusa	Local	Adult	Male	No				RPA014	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
15		A	RWE001A	goat	G015	Rubere	Local	Adult	Female	Yes				RPA015	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
16		A	RWE001A	goat	G016	Kibibi	Local	Young	Male	No				RPA016	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
17		A	RWE001A	goat	G017	Gakungu k'icyasha	Local	Young	Male	No				RPA017	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
18		A	RWE001A	goat	G018	Gacecero	Local	Young	Female	No				RPA018	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
19		A	RWE001A	goat	G019	Ruvuro	Local	Young	Male	No				RPA019	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
20		A	RWE001A	goat	G020	Kozi	Local	Young	Female	No				RPA020	Rwempasha	Rugarama 	Rugarama	Negative		Negative	11/14/23	Negative 
21		A	RWE001A	cattle	C001	zero970754	Cross	Adult	Female	No	Yes			RPA021	Rwempasha	Rugarama 	Rugarama	Positive		Positive	6/11/23	Positive
22		A	RWE001A	cattle	C002	zero970752	Cross	Young	Female	No	Yes			RPA022	Rwempasha	Rugarama 	Rugarama	Positive		Negative	6/11/23	
23		A	RWE001A	cattle	C003	zero970729	Cross	Adult	Female	Yes	Yes			RPA023	Rwempasha	Rugarama 	Rugarama	Positive		Positive	6/11/23	Positive
24		A	RWE001A	cattle	C004	mukobwa wa buhuga	Cross	Adult	Female	No	Yes			RPA024	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
25		A	RWE001A	cattle	C005	zero970734	Cross	Adult	Male	No	Yes			RPA025	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
26		A	RWE001A	cattle	C006	zero970731	Cross	Adult	Female	No	Yes			RPA026	Rwempasha	Rugarama 	Rugarama	Negative		Positive	6/11/23	
27		A	RWE001A	cattle	C007	zero970750	Cross	Adult	Female	Yes	Yes			RPA027	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
28		A	RWE001A	cattle	C008	zero224077	Cross	Adult	Female	No	Yes			RPA028	Rwempasha	Rugarama 	Rugarama	Positive		Positive	6/11/23	Positive
29		A	RWE001A	cattle	C009	zero970709	Cross	Adult	Female	No	Yes			RPA029	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
30		A	RWE001A	cattle	C010	zero224052	Cross	Adult	Female	No	Yes			RPA030	Rwempasha	Rugarama 	Rugarama	Positive		Negative	6/11/23	
31		A	RWE001A	cattle	C011	zero970751	Cross	Adult	Female	Yes	Yes			RPA031	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
32		A	RWE001A	cattle	C012	zero970748	Cross	Young	Female	No	Yes			RPA032	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
33		A	RWE001A	cattle	C013	zero970720	Cross	Young	Male	No	Yes			RPA033	Rwempasha	Rugarama 	Rugarama	Negative		Negative	6/11/23	Negative 
