"term","odds_ratio","lower_ci","upper_ci","p.value"
"Gender: Male",2.66,1.57,4.64,0.000383153971281444
"Age: 26-35",1.55,0.85,2.91,0.157622006844892
"Age: 36-45",2.88,1.56,5.47,0.000874126093694096
"Age: 46-55",4.89,2.62,9.41,1.01517820316307e-06
"Age: Over 55",7.39,3.82,14.76,6.07268258082476e-09
"OccupGroup: Animal health care practitioner",2.9,1.38,6.06,0.00466406989787298
"OccupGroup: Human health care practitioner",2.36,0.84,6,0.0831902373981905
"OccupGroup: meat handlers",0.73,0.35,1.48,0.387329930999511
"OccupGroup: milk handlers",1.09,0.64,1.84,0.76070365855632
"OccupGroup: others",3.99,0.79,15.59,0.0619044164474009
"Contact with waste: Yes",1.6,0.97,2.64,0.065230401074117
"Handled aborted fetus: Yes",1.57,0.94,2.64,0.0854991937120499
"Milking: Yes",1.57,0.94,2.64,0.087791466531993
