"sector","herd_size_cattle","herd_size_sheep","Herdsizegoats","animals_live_with_people","farm_fenced","wildlife_interaction","shared_water","breeding_methods","having_vet","buryingAbort","animalFeedAbort","throwingAbort","aborted_animal_fate","new_introduction","brucellosis_awareness","species","Breed","Age","Sex","ELISA_sample"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Male","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",38,0,14,"No","Yes","Yes","No","Natural (using bulls)","No","Yes","No","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","sheep","Local","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","sheep","Local","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","sheep","Local","Adult","Male","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","sheep","Local","Adult","Female","Negative"
"Karangazi",17,10,0,"No","Yes","No","Yes","Natural (using bulls)","No","Yes","No","No","Kept in the herd","No","Yes","sheep","Local","Adult","Male","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",15,0,0,"Yes","Yes","Yes","No","Natural (using bulls)","No","No","No","No","Not applicable","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",20,0,0,"No","No","Yes","Yes","Natural (using bulls)","No","No","No","Yes","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",60,0,25,"No","Yes","Yes","No","Natural (using bulls)","No","No","Yes","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Young Adult ","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
